DeptCode,DeptName,DeptNameC,DepartmentGroup,ShortName,DeptUnit,Division,AppraisalPeriod,DepartmentCode,TrainingCode,TrainingTitle,CompetencyType,Active,staffLevel
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3327,Business Leadership Program,Knowledge,Y,Top
64,ACI Flour Institution,ACI Pure Flour - Institution,ACI Pure Flour,Flour FF Institution,Consumer Brands,Consumer Brands,2025-2026,64,3114,Understanding Customer Motivations & Insight,Skill,Y,Mid
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3326,"Competitive Marketing Strategy, IIMB",Skill,Y,Top
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3328,Content Creation Framework: Crafting Compelling Stories,Skill,Y,Mid
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3308,Cost Structure for Marketers,Knowledge,Y,Top
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3137,Customer Response Handling: Complaints to Opportunities,Skill,Y,Mid
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3311,Data-Driven Marketing: Unlocking Insights for Strategic Choices,Knowledge,Y,Mid
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3087,Strategic Digital and Social Media Marketing: Advanced Tactics for Engagement,Skill,Y,Mid
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3181,Marketing Innovation,Skill,Y,Top
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3148,Strategic Marketing,Skill,Y,Top
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3182,Developing an Effective Marketing Plan,Skill,Y,Mid
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3086,Strategic Brand Management for Business Excellence,Knowledge,Y,Mid
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3167,Measuring Marketing ROI,Skill,Y,Mid
259,Flour Administration,,ACI Pure Flour Factory,Flour Administration,Consumer Brands,Consumer Brands,2025-2026,259,3322,Documentation & Record Keeping for Factory Admin,Skill,Y,Mid
265,ACI Electronics Service,,ACI Mobile,Mobile Service,Consumer Brands,Consumer Brands,2025-2026,265,3141,Data-Driven Marketing: Unlocking Insights for Success,Skill,Y,Top
265,ACI Electronics Service,,ACI Mobile,Mobile Service,Consumer Brands,Consumer Brands,2025-2026,265,3084,Analytics for Strategic Choices,Skill,Y,Top
265,ACI Electronics Service,,ACI Mobile,Mobile Service,Consumer Brands,Consumer Brands,2025-2026,265,3218,Customer Service Excellence,Skill,Y,Mid
265,ACI Electronics Service,,ACI Mobile,Mobile Service,Consumer Brands,Consumer Brands,2025-2026,265,3136,Customer Relationship Management,Knowledge,Y,Mid
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3370,Export Documentation & Regulatory Compliance,Knowledge,Y,Mid
259,Flour Administration,,ACI Pure Flour Factory,Flour Administration,Consumer Brands,Consumer Brands,2025-2026,259,3128,Fire Safety Management,Skill,Y,Mid
259,Flour Administration,,ACI Pure Flour Factory,Flour Administration,Consumer Brands,Consumer Brands,2025-2026,259,3321,First Aid Management,Skill,Y,Mid
91,ACI Flour Distribution,ACI PURE FLOUR - DISTRIBUTION,ACI Pure Flour Factory,Flour Distribution,Consumer Brands,Consumer Brands,2025-2026,91,3166,Optimizing Route Planning and Delivery Efficiency,Skill,Y,Top
91,ACI Flour Distribution,ACI PURE FLOUR - DISTRIBUTION,ACI Pure Flour Factory,Flour Distribution,Consumer Brands,Consumer Brands,2025-2026,91,3134,Effective Distribution Management & Practice,Skill,Y,Mid
91,ACI Flour Distribution,ACI PURE FLOUR - DISTRIBUTION,ACI Pure Flour Factory,Flour Distribution,Consumer Brands,Consumer Brands,2025-2026,91,3102,Smart Warehouse Management,Knowledge,Y,Mid
